# Points-per-request budgets. The key is (command, coding, unit, link) -- the LINK is
# part of it because 192 is the FX5 CPU built-in port's Read Random ceiling and an
# FX5-ENET module's is 123, and a client that models the budget as one per-CPU constant
# is wrong on one of them.
#
# rule syntax:
#   flat:N                       N points maximum
#   weighted:W,D,T               word_points*W + dword_points*D <= T
#   block:MAXBLOCKS,OVERHEAD,MAXTOTAL
#
# coding: `binary` or `ascii`. Encoding.ASCII_XY_OCT and Encoding.ASCII_XY_HEX differ
# only in how an X or Y device NUMBER is rendered, never in how many points fit, so one
# `ascii` row serves both. That is not an alias in the Encoding enum; it is a statement
# about this table.
#
# end_code is the code the PLC returns when the budget is exceeded, and it is quoted
# verbatim in SlmpPointLimitError so a user can match our refusal against what the CPU
# would have said.
#
# provenance=live rows were binary-searched on the named CPU and firmware. Where the
# manual disagrees, the note says so and names the ambiguity key.
profile_key	command	coding	unit	link	rule	end_code	provenance	cpu	firmware	measured	manual	revision	section	note
melsec:iq-f/fx5u	0x0401	binary	word	cpu	flat:960	0xC052	live	FX5U-32MT/DS	1.065	2026-09-06	JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Binary-searched on hardware: 960 points from D0 returned 0x0000 (1920 bytes of payload, 1931 bytes on the wire); 961 returned 0xC052. Reconfirmed over UDP: 960 points -> a 1935-byte datagram, 961 -> 0xC052. SH(NA)-080956ENG's generic figure is also 960, so manual and silicon agree here.
melsec:iq-f/fx5u	0x0401	binary	bit	cpu	flat:3584	0xC051	live	FX5U-32MT/DS	1.065	2026-09-06	JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Binary-searched on hardware from M0: 3584 points returned 0x0000, 3585 returned 0xC051. SH(NA)-080956ENG-M gives 7168 for the generic/iQ-R case -- exactly double. A client that hard-codes the SLMP-REF ceiling builds frames this CPU rejects. See A-BATCH-BIT-LIMIT.
melsec:iq-f/fx5u	0x1401	binary	word	cpu	flat:960	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Not binary-searched on hardware; only the read direction was. The FX5 manual gives the same figure for both directions.
melsec:iq-f/fx5u	0x1401	binary	bit	cpu	flat:3584	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Not binary-searched on hardware; only the read direction was.
melsec:iq-f/fx5u	0x0403	binary	word	cpu	flat:192	0xC054	live	FX5U-32MT/DS	1.065	2026-09-06	JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	192 word-access points returned 0x0000 (384 bytes); 193 returned 0xC054; 255 returned 0xC054. 192 double-word points returned 0x0000 (768 bytes) and 96 word + 96 dword points returned 0x0000 (576 bytes), confirming the sum is what is capped. The budget is word points + double-word points, independent of how many words come back. The point-count fields are one byte each, so the wire format will not stop you: this limit only exists client-side.
melsec:iq-f/fx5u	0x1402	binary	word	cpu	weighted:12,14,1920	0xC054	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	A flat point count is wrong in both directions here: 160 word points fit but 138 double-word points do not.
melsec:iq-f/fx5u	0x1402	binary	bit	cpu	flat:188	0xC053	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	
melsec:iq-f/fx5u	0x0406	binary	word	cpu	block:120,0,960	0xC0D8	manual				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	Word blocks + bit blocks <= 120, and the total points across all blocks <= 960. Never exercised on the bench.
melsec:iq-f/fx5u	0x1406	binary	word	cpu	block:120,4,760	0xC0D8	inferred				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	INFERRED: the 760-point total and the 4-word per-block overhead are carried from the locked design (DESIGN 2.4) and were NOT located in the sources read. Verify against JY997D56001-K before relying on it. Never exercised on the bench.
melsec:iq-f/fx5u	0x0401	ascii	word	cpu	flat:480	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Half the binary figure, because each byte costs two characters. The whole ASCII path is unverified on our bench: the FX5's Communication Data Code is a single Own Node setting for the entire Ethernet port, so testing ASCII breaks every binary connection at once.
melsec:iq-f/fx5u	0x0401	ascii	bit	cpu	flat:1792	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	
melsec:iq-f/fx5u	0x1401	ascii	word	cpu	flat:480	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	
melsec:iq-f/fx5u	0x1401	ascii	bit	cpu	flat:1792	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	
melsec:iq-f/fx5u	0x0403	ascii	word	cpu	flat:96	0xC054	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	The manual states the ASCII rule as (word points + dword points) x 2 <= 192, which is 96 points.
melsec:iq-f/fx5u	0x1402	ascii	word	cpu	weighted:24,28,1920	0xC054	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	The manual states the ASCII rule as (word x 12 + dword x 14) x 2 <= 1920; the doubled weights are that formula with the x 2 folded in.
melsec:iq-f/fx5u	0x1402	ascii	bit	cpu	flat:94	0xC053	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	
melsec:iq-f/fx5u	0x0406	ascii	word	cpu	block:60,0,960	0xC0D8	manual				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	The manual states (word blocks + bit blocks) x 2 <= 120.
melsec:iq-f/fx5u	0x1406	ascii	word	cpu	block:60,4,760	0xC0D8	inferred				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	INFERRED, as for the binary 1406 row.
melsec:iq-f/fx5u	0x1401	binary	word	enet	flat:949	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	An FX5-ENET module, not the CPU built-in port: 949, not 960. This is why every LimitKey carries the Link.
melsec:iq-f/fx5u	0x0403	binary	word	enet	flat:123	0xC054	manual				JY997D56001	K	4.2 (p.77, footnote)	An FX5-ENET module caps Read Random at 123 points where the built-in port allows 192.
melsec:iq-f/fx5uc	0x0401	binary	word	cpu	flat:960	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	SH(NA)-080956ENG's generic figure is also 960, so manual and silicon agree here.
melsec:iq-f/fx5uc	0x0401	binary	bit	cpu	flat:3584	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	SH(NA)-080956ENG-M gives 7168 for the generic/iQ-R case -- exactly double. A client that hard-codes the SLMP-REF ceiling builds frames this CPU rejects. See A-BATCH-BIT-LIMIT.
melsec:iq-f/fx5uc	0x1401	binary	word	cpu	flat:960	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Not binary-searched on hardware; only the read direction was. The FX5 manual gives the same figure for both directions.
melsec:iq-f/fx5uc	0x1401	binary	bit	cpu	flat:3584	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Not binary-searched on hardware; only the read direction was.
melsec:iq-f/fx5uc	0x0403	binary	word	cpu	flat:192	0xC054	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	The budget is word points + double-word points, independent of how many words come back. The point-count fields are one byte each, so the wire format will not stop you: this limit only exists client-side.
melsec:iq-f/fx5uc	0x1402	binary	word	cpu	weighted:12,14,1920	0xC054	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	A flat point count is wrong in both directions here: 160 word points fit but 138 double-word points do not.
melsec:iq-f/fx5uc	0x1402	binary	bit	cpu	flat:188	0xC053	manual				JY997D56001	K	4.2 Device Read Random / Device Write Random (p.77-93)	
melsec:iq-f/fx5uc	0x0406	binary	word	cpu	block:120,0,960	0xC0D8	manual				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	Word blocks + bit blocks <= 120, and the total points across all blocks <= 960. Never exercised on the bench.
melsec:iq-f/fx5uc	0x1406	binary	word	cpu	block:120,4,760	0xC0D8	inferred				JY997D56001	K	4.2 Device Read Block / Device Write Block (p.95-101)	INFERRED: the 760-point total and the 4-word per-block overhead are carried from the locked design (DESIGN 2.4) and were NOT located in the sources read. Verify against JY997D56001-K before relying on it. Never exercised on the bench.
melsec:iq-f/fx5uc	0x0401	ascii	word	cpu	flat:480	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	Half the binary figure, because each byte costs two characters. The whole ASCII path is unverified on our bench: the FX5's Communication Data Code is a single Own Node setting for the entire Ethernet port, so testing ASCII breaks every binary connection at once.
melsec:iq-f/fx5uc	0x0401	ascii	bit	cpu	flat:1792	0xC051	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	
melsec:iq-f/fx5uc	0x1401	ascii	word	cpu	flat:480	0xC052	manual				JY997D56001	K	4.2 Device Read (Batch) / Device Write (Batch) (p.69-75)	
